N	종목명	현재가	전일비	등락률	액면가	시가총액	상장주식수	외국인비율	거래량	PER	ROE	토론실
82,두산밥캣,"32,000","1,350",-4.05%,500,"32,080","100,249",20.51,"571,152",17.32,7.05,
83,현대차2우B,"86,600",100,-0.12%,"5,000","31,596","36,485",60.34,"95,093",20.69,N/A,
84,NH투자증권,"11,200",0,0.00%,"5,000","31,518","281,409",14.67,"1,100,819",7.33,9.12,
85,SKC,"83,700",100,-0.12%,"5,000","31,416","37,535",8.00,"175,561",37.15,3.86,
86,에스원,"82,400",600,-0.72%,500,"31,311","37,999",55.24,"71,348",21.68,11.32,
87,더존비즈온,"103,000",0,0.00%,500,"30,997","30,094",45.03,"52,015",64.29,18.78,
88,롯데쇼핑,"105,000","3,500",+3.45%,"5,000","29,703","28,289",11.82,"397,420",-2.22,-8.14,
89,대림산업,"84,400","1,000",+1.20%,"5,000","29,371","34,800",38.54,"314,149",4.47,11.74,
90,LG화학우,"379,000","12,000",+3.27%,"5,000","29,141","7,689",59.85,"71,605",35.41,N/A,
91,동서,"28,850",350,-1.20%,500,"28,763","99,700",5.04,"122,193",20.91,10.53,
92,대우조선해양,"26,700",350,-1.29%,"5,000","28,647","107,291",9.14,"670,749",16.43,-1.22,
93,쌍용양회,"5,550",0,0.00%,"1,000","27,964","503,860",2.85,0,20.94,7.02,
94,한국가스공사,"29,500",300,+1.03%,"5,000","27,232","92,313",9.00,"436,336",-5.43,0.48,
95,키움증권,"122,000",500,+0.41%,"5,000","27,010","22,139",24.88,"114,146",8.18,16.97,
96,삼성엔지니어링,"13,650",200,+1.49%,"5,000","26,754","196,000",26.28,"3,433,544",10.48,24.62,
97,GS리테일,"34,150",50,-0.15%,"1,000","26,296","77,000",14.53,"346,829",15.57,6.25,
98,휠라홀딩스,"43,200",900,-2.04%,"1,000","26,245","60,752",45.51,"390,503",14.57,23.81,
99,두산퓨얼셀,"46,250","4,700",+11.31%,100,"25,666","55,494",11.19,"4,894,992",135.63,N/A,
100,메리츠증권,"3,770",50,-1.31%,"1,000","25,484","675,962",12.93,"2,551,213",5.14,15.06,
101,GS건설,"31,750",150,-0.47%,"5,000","25,431","80,098",28.48,"379,902",6.66,11.79,
102,제일기획,"21,750",200,+0.93%,200,"25,021","115,041",31.89,"371,275",18.43,15.09,
103,한국항공우주,"24,850",150,-0.60%,"5,000","24,223","97,475",14.83,"608,569",15.50,15.84,
104,TIGER 200,"34,975",200,+0.58%,0,"24,203","69,200",3.59,"1,556,143",N/A,N/A,
105,CJ,"81,000",600,+0.75%,"5,000","23,633","29,177",19.03,"133,407",13.46,6.24,
